ReviewUrl,name,Address,districtid,RestaurantId,RestaurantStatus,avgrating,TotalPictures,TotalSaves,TotalReviews,TotalFavourites,TotalViews,TotalCheckIns,Latitude,Longitude
/ho-chi-minh/texas-chicken-phan-xich-long/binh-luan,Texas Chicken - Phan Xích Long,"274 - 276 Phan Xích Long, P. 7",17,48251,2,7.072,2271,0,587,336,81644,171,10.798036,106.688907
/ho-chi-minh/starbucks-coffee-phan-xich-long/binh-luan,Starbucks Coffee - Phan Xích Long,214 - 216 Phan Xích Long,17,73378,2,7.39,2232,0,323,161,34974,104,10.797456,106.690001
/ho-chi-minh/sumo-bbq-phan-xich-long/binh-luan,Sumo BBQ - Phan Xích Long - Buffet Nướng & Lẩu,"210 Phan Xích Long, P. 2",17,5026,2,7.67,2075,0,314,152,91562,84,10.797516,106.689863
/ho-chi-minh/ngo-8-tra-chanh-lau-rieu-cua-dong-cu-lao/binh-luan,Ngõ 8 - Trà Chanh & Lẩu Riêu Cua Đồng - Cù Lao,"8 Cù Lao, P. 2",17,35111,2,6.918,2678,0,507,1677,291343,236,10.7962235,106.6897665
/ho-chi-minh/papa-s-chicken-truong-sa/binh-luan,Papas' Chicken - Gà Rán Hàn Quốc - Trường Sa,"346 Trường Sa, P. 2",17,233553,2,6.568,3359,0,376,343,36522,70,10.796011,106.690292
/ho-chi-minh/oc-quynh-nhieu-tu/binh-luan,Ốc Quỳnh - Nhiêu Tứ,"1A Nhiêu Tứ, P. 7",17,93324,2,7.954,1750,0,479,626,51996,73,10.802017,106.689264
/ho-chi-minh/san-fu-lou-cantonese-kitchen-phan-xich-long/binh-luan,San Fu Lou - Ẩm Thực Quảng Đông - Phan Xích Long,"195 - 197 Phan Xích Long, P. 2",17,179996,2,7.444,2588,0,322,346,70976,69,10.798457,106.687428
/ho-chi-minh/gogi-house-nuong-han-quoc-phan-xich-long/binh-luan,Gogi House - Nướng Hàn Quốc - Phan Xích Long,"198 Phan Xích Long, P. 7",17,103685,2,7.516,1782,0,334,115,51282,106,10.797722,106.689438
/ho-chi-minh/hachiko-coffee-cafe-thu-cung/binh-luan,Hachiko Coffee - Cafe Thú Cưng,"14 Hoa Sữa, P. 7",17,99049,2,6.936,3006,0,299,825,192999,163,10.7980001,106.6913355
/ho-chi-minh/com-tam-ba-ghien-dang-van-ngu/binh-luan,Cơm Tấm Ba Ghiền - Đặng Văn Ngữ,"84 Đặng Văn Ngữ, P. 10",17,1630,2,6.09,843,0,462,596,117225,167,10.79441,106.66941
/ho-chi-minh/kichi-kichi-lau-bang-chuyen-nguyen-van-troi/binh-luan,Kichi Kichi Lẩu Băng Chuyền - Nguyễn Văn Trỗi,"197 Nguyễn Văn Trỗi, P. 10",17,4190,2,8.95,968,0,406,50,36062,52,10.796808,106.673216
/ho-chi-minh/tra-sua-gong-cha-phan-xich-long/binh-luan,Trà Sữa Gong Cha - 貢茶 - Phan Xích Long,"240 Phan Xích Long, P. 7",17,207900,2,6.382,1638,0,445,244,52662,103,10.7979271,106.6896557
/ho-chi-minh/banh-duc-phan-dang-luu/binh-luan,Bánh Đúc Phan Đăng Lưu,"116/2/3 Phan Đăng Lưu, P. 3",17,638,2,5.654,424,0,330,1013,188875,124,10.8030101,106.6834299
/ho-chi-minh/pergola/binh-luan,Pergola - Cafe Nhà Hàng Sân Vườn,"28A Trần Cao Vân, P. 12",17,342,2,7.512,947,0,100,391,172385,68,10.792776,106.676645
/ho-chi-minh/cafe-tram/binh-luan,Trầm Cafe - Trần Huy Liệu,"100 Trần Huy Liệu, P. 15",17,1331,2,6.918,871,0,203,435,153922,115,10.796037,106.677825
/ho-chi-minh/bo-sinh-doi-phan-xich-long/binh-luan,Bò Sinh Đôi - Steak & Lẩu Bò Mỹ,"192 Phan Xích Long, P. 2",17,116541,2,7.482,1236,0,232,447,126147,65,10.797894,106.689269
/ho-chi-minh/banh-bo-thot-not-nguyen-son-giao-hang-tan-noi/binh-luan,Bánh Bò Thốt Nốt Nguyễn Sơn - Giao Hàng Tận Nơi,"6 Lê Tự Tài, P. 4",17,160457,2,2.018,605,0,834,423,125670,60,10.8048783,106.6791516
/ho-chi-minh/quan-cua-hoa/binh-luan,Quán Cua Hoa,"8A Đặng Văn Ngữ, P. 10",17,31427,2,7.142,546,0,93,308,118378,36,10.797695,106.669722
/ho-chi-minh/moon-s-kitchen-korea-bbq-coffee/binh-luan,Moon's Kitchen - Món Hàn Quốc,16 Hoa Mai,17,197711,2,7.65,1940,0,285,791,112165,63,10.797173,106.687628
/ho-chi-minh/tiem-banh-thanh-dan/binh-luan,Tiệm Bánh Thanh Đan,"46B Nguyễn Văn Trỗi, P. 15",17,22388,2,7.242,764,0,177,622,105667,153,10.7938422,106.6786671
/ho-chi-minh/flyfood-mon-ngon-giao-tan-nha/binh-luan,Flyfood - Quảng Bá Ẩm Thực Truyền Thống Việt Nam,"7/3 Hồ Biểu Chánh, P. 12",17,67391,2,6.7,482,0,120,334,105056,42,10.7933869,106.676957
/ho-chi-minh/com-tam-baby-phung-van-cung/binh-luan,Cơm Tấm BABY - Phùng Văn Cung,"26 Phùng Văn Cung, P. 7",17,1151586,2,0.0,0,0,0,0,3,0,10.7999931519469,106.6859019955938
/ho-chi-minh/yen-chou-tra-sua-tren-may-hoang-minh-giam.xjt46c/binh-luan,Yen Chou - Trà Sữa Trên Mây - Hoàng Minh Giám,"8 Hoàng Minh Giám (Cổng sau chung cư mặt Hồng Hà), P. 8",17,1000058541,2,0.0,0,0,0,0,0,0,10.808906,106.6733211
/ho-chi-minh/banh-mi-ca-phe-ong-trinh-dao-duy-anh/binh-luan,Bánh Mì & Cà Phê Ông Trình - Đào Duy Anh,"54/3 Đào Duy Anh, P. 9",17,1151573,2,0.0,0,0,0,0,5,0,10.8067431371677,106.6765819538835
/ho-chi-minh/home-cafe-phan-dang-luu/binh-luan,Home Cafe - Phan Đăng Lưu,"172 Phan Đăng Lưu, P. 3",17,1151407,2,0.0,0,0,0,0,1,0,10.800899,106.681981
/ho-chi-minh/an-vat-bao-bao-nguyen-dinh-chieu/binh-luan,Ăn Vặt Bảo Bảo - Nguyễn Đình Chiểu,"85/2A Nguyễn Đình Chiểu, P. 4",17,1151380,2,0.0,0,0,0,0,1,0,10.8041364,106.6815757
/ho-chi-minh/bob-s-toast-banh-mi-kep-thit-truong-sa/binh-luan,Bob’s Toast - Bánh Mì Kẹp Thịt - Trường Sa,"1224 Trường Sa, P. 13",17,1151331,2,0.0,0,0,0,0,5,0,10.7897843,106.6671256
/ho-chi-minh/ti-ni-tea-dang-van-ngu/binh-luan,Tí Nị Tea - Đặng Văn Ngữ,"117 Đặng Văn Ngữ, P. 13",17,1151303,2,0.0,0,0,0,0,1,0,10.7923413,106.6680421
/ho-chi-minh/bun-bo-banh-beo-52-hoa-su/binh-luan,Bún Bò & Bánh Bèo - 52 Hoa Sứ,"52 Hoa Sứ, P. 7",17,1000058390,2,0.0,0,0,0,0,1,0,10.7993392,106.6890012
/ho-chi-minh/banh-mi-q-huynh-van-banh/binh-luan,Bánh Mì Q - Huỳnh Văn Bánh,"36 Huỳnh Văn Bánh, P. 15",17,1000058340,2,0.0,0,0,0,0,2,0,10.7952803,106.6813704
/ho-chi-minh/quan-1f-com-ga-bo-bit-tet-lau-hoa-cau/binh-luan,"Quán 1F - Cơm Gà, Bò Bít Tết & Lẩu - Hoa Cau","1F Hoa Cau, P. 7",17,1151053,2,0.0,0,0,0,0,2,0,10.799517,106.68788
/ho-chi-minh/hero-cafe-nguyen-dinh-chinh/binh-luan,HERO CAFE - Nguyễn Đình Chính,"133A Nguyễn Đình Chính, P. 8",17,1150987,2,0.0,0,0,0,0,1,0,10.795586,106.677027
/ho-chi-minh/bo-kho-ale-farm-hoang-van-thu/binh-luan,Bò Kho Ale'farm - Hoàng Văn Thụ,"159/6 Hoàng Văn Thụ, P. 8",17,1150937,2,0.0,0,0,0,0,2,0,10.799425,106.674883
/ho-chi-minh/hem-tra-sua-do-an-vat/binh-luan,Hẻm - Đồ Ăn Vặt,"269/1 Phan Xích Long, P. 2",17,932710,2,10.0,33,0,3,10,428,1,10.799695,106.68493
/ho-chi-minh/pha-lau-co-diep/binh-luan,Phá Lấu Cô Điệp,60 Lê Tự Tài,17,759686,2,10.0,26,0,1,17,1369,6,10.8053249,106.6811383
/ho-chi-minh/banh-canh-79/binh-luan,Bánh Canh 79,"34 Nguyễn Lâm, P. 3",17,1077004,2,10.0,4,0,8,1,87,0,10.8018781752259,106.6920338114122
,Lang Thang Rooftop,"Sân Thượng Tầng 7, 240 Nguyễn Đình Chính, P11, Phú Nhuận, Tp Hcm",17,1079868,2,10.0,26,0,2,2,0,1,,
/ho-chi-minh/siro-sori-tea-coffee/binh-luan,Siro Sori - Tea & Coffee,"43 Hoa Sữa, P. 7",17,723804,2,10.0,3,0,2,1,179,1,10.798489,106.6914804
/ho-chi-minh/yuki-drink-and-food/binh-luan,Yuki - Drink And Food,"96/6 Nguyễn Công Hoan, P. 7",17,1054233,2,10.0,20,0,3,1,50,0,10.7990360271063,106.6904300262165
/ho-chi-minh/s1986-coffee-time-anytime/binh-luan,"S1986 - Coffee Time, Anytime","59 Trương Quốc Dung, P. 10",17,976960,2,10.0,42,0,1,1,212,1,10.795125,106.672662
/ho-chi-minh/zorro-cafe-beer/binh-luan,ZORRO Café & Beer,"54 Nguyễn Thị Huỳnh, P. 11",17,916121,2,10.0,11,14,1,1,497,3,10.794998,106.674286
/ho-chi-minh/byfilm-coffee/binh-luan,Byfilm Coffee,"525/72 Huỳnh Văn Bánh, P. 14",17,954937,2,10.0,22,0,2,3,159,0,10.790832,106.668445
/ho-chi-minh/tra-chanh-thuy-tien-da-heo-lac-mam-toi-banh-trang-bo-deo-hoa-su/binh-luan,Trà Chanh Thuỷ Tiên - Da Heo Lắc Mắm Tỏi & Bánh Tráng Bơ Dẻo - Hoa Sứ,"48 Hoa Sứ, P. 7",17,1135077,2,10.0,12,0,2,0,30,1,10.798498,106.688893
/ho-chi-minh/hien-cay-queo-banh-canh-cha-ca-phan-rang/binh-luan,Hiền Cây Quéo - Bánh Canh Chả Cá Phan Rang,"269/5 Phan Xích Long, P. 2",17,1047755,2,10.0,3,8,1,4,198,2,10.799688,106.684978
/ho-chi-minh/socola-my-ho-bieu-chanh/binh-luan,Socola Mỹ - Hồ Biểu Chánh,"55 Hồ Biểu Chánh, P. 12",17,1075820,2,10.0,87,0,3,0,83,0,10.791355,106.676182
/ho-chi-minh/biscotti-banh-hat-dinh-duong-huynh-van-banh/binh-luan,Biscotti - Bánh Hạt Dinh Dưỡng - Huỳnh Văn Bánh,"420/11 Huỳnh Văn Bánh, P. 14",17,1058719,2,9.99,6,0,610,18,1283,11,10.7921273,106.6695246
/ho-chi-minh/banh-que-ha-lan-huynh-van-banh/binh-luan,Bánh Quế Hà Lan - Huỳnh Văn Bánh,"420/11 Huỳnh Văn Bánh, P. 14",17,1053903,2,9.984,8,0,554,26,1414,14,10.792129,106.6695212
/ho-chi-minh/banh-9-sach-banh-sau-rieng-phan-dinh-phung/binh-luan,Bánh 9 Sạch - Bánh Sầu Riêng - Phan Đình Phùng,"337 Phan Đình Phùng, P. 15",17,1077197,2,9.942,7,0,439,13,1083,4,10.7983962,106.6804261
/ho-chi-minh/san-san-mi-ga-quay-hoa-lan/binh-luan,San San - Mì Gà Quay - Hoa Lan,"147 Hoa Lan, P. 2",17,182755,2,6.566,1380,0,374,561,68252,66,10.7979607,106.6880178
/ho-chi-minh/xoi-chien-nha-sushi/binh-luan,Xôi Chiên Nhà Sushi,"50/22/2 Phùng Văn Cung, P. 7",17,859973,2,8.572,171,0,105,565,7843,77,10.800838,106.686018
/ho-chi-minh/tau-hu-xe-lam/binh-luan,Tàu Hủ Xe Lam - Phùng Văn Cung,"70 Phùng Văn Cung, P. 7",17,115766,2,6.928,952,0,300,558,71663,85,10.800907,106.685257
/ho-chi-minh/haki-haki-tiem-banh-online/binh-luan,Haki Haki - Tiệm Bánh Online,"34/14B Nguyễn Đình Chiểu, P. 3",17,67766,2,7.894,1279,0,92,522,95410,34,10.803002,106.67989
/ho-chi-minh/banh-trang-cham-chung-cu-phan-xich-long/binh-luan,Bánh Tráng Chấm Cô Gánh - Chung Cư A4 Phan Xích Long,"Lô D001 Chung Cư A4 Phan xích Long, P. 7",17,729272,2,5.794,181,0,89,471,56545,17,10.7995447,106.6870026
,Mì Quảng Ông Lăng,"106 Trương Quốc Dung , Phường 10 , Quận Phú Nhuận",17,1068244,2,9.7,2,0,2,0,0,0,,
,Cafe vợt,"Số 2 Ngõ 320 Phan đình Phùng, Phường 1, Quận Phú Nhuận",17,1138082,2,7.4,8,0,1,0,0,0,,
,Bếp Nhà 56 - Sâm Mix - Phan Đình Phùng,"53 Phan Đình Phùng, Phường 17, Phú Nhuận",17,1075742,2,10.0,1,0,1,0,0,0,0.0,0.0
/ho-chi-minh/crazy-coffee-ca-phe-tra-sua-nguyen-kiem/binh-luan,Crazy Coffee - Cà Phê & Trà Sữa - Nguyễn Kiệm,"778K/3 Nguyễn Kiệm, P. 4",17,1036171,2,0.0,0,0,0,0,52,0,10.7967813,106.6504116
/ho-chi-minh/bun-moc-gio-cha-huu-nghi/binh-luan,Bún Mọc - Giò Chả Hữu Nghị,"1370A Trường Sa, P. 3",17,1071865,2,0.0,0,0,0,0,40,0,10.7920523440229,106.6628888252836
/ho-chi-minh/bun-moc-ti-ti-nguyen-trong-tuyen/binh-luan,Bún Mọc Ti Ti - Nguyễn Trọng Tuyển,"233a Nguyễn Trọng Tuyển, P. 8",17,786872,2,0.0,6,1,0,0,105,0,10.7988983225945,106.6649511829018
/ho-chi-minh/banh-trang-cuon-pham-van-hai/binh-luan,Bánh Tráng Cuốn - Phạm Văn Hai,12 Phạm Văn Hai,17,670927,2,7.4,18,0,3,7,866,2,10.798275,106.664959
/ho-chi-minh/oc-bong-truong-sa/binh-luan,Ốc Bống - Trường Sa,"1270B Trường Sa, P. 14",17,1038822,2,8.902,21,1,8,8,370,1,10.791031,106.666007
/ho-chi-minh/an-vat-so-1/binh-luan,Ăn Vặt Số 1,"1270 Lô B Trường Sa, P. 14",17,1050599,2,0.0,0,0,0,0,36,0,10.791,106.666007
/ho-chi-minh/oc-quy-sai-gon-truong-sa/binh-luan,Ốc Quý Sài Gòn - Trường Sa,"1264 Trường Sa, P. 13",17,1113474,2,0.0,0,0,0,0,55,0,10.7913033,106.6662229
/ho-chi-minh/to-go-coffee-le-van-sy/binh-luan,To Go Coffee - Lê Văn Sỹ,"331/1 Lê Văn Sỹ, P. 1",17,737104,2,0.0,4,0,0,0,52,0,10.795337,106.666497
/ho-chi-minh/com-ga-xoi-mo-142-dao-duy-anh/binh-luan,Cơm Gà Xối Mỡ 142 - Đào Duy Anh,"12/4 Đào Duy Anh, P. 9",17,1136986,2,0.0,0,2,0,0,101,0,10.8065761,106.6777614
/ho-chi-minh/phuc-long-phan-xich-long/binh-luan,Phúc Long Phan Xích Long,"95 Phan Xích Long, P. 2",17,1055535,2,4.414,97,1,29,2,2483,4,10.7971822,106.6905106
/ho-chi-minh/huong-ky-9-com-chien-18-mon/binh-luan,Hương Ký 9 - Cơm Chiên 18 Món,"110 Đặng Văn Ngữ, P. 10",17,1074415,2,4.3,1,0,2,1,241,1,10.793974,106.669106
/ho-chi-minh/tra-sua-sunday-basic-thich-quang-duc/binh-luan,Trà Sữa Sunday Basic - Thích Quảng Đức,"30A Thích Quảng Đức, P. 5",17,755411,2,7.384,437,0,30,19,10439,6,10.8044011,106.6836472
/ho-chi-minh/banh-cuon-ba-mien-phan-xich-long/binh-luan,Bánh Cuốn Ba Miền - Phan Xích Long,"188 Phan Xích Long, P. 7",17,983805,2,5.966,50,0,17,7,1296,2,10.7978134,106.6890131
/ho-chi-minh/tra-sua-gong-cha-160-phan-xich-long/binh-luan,Trà Sữa Gong Cha - 貢茶 - 160 Phan Xích Long,"160 Phan Xích Long, P. 2",17,930743,2,6.046,337,0,17,2,1133,0,10.798211,106.688199
/ho-chi-minh/koi-the-phan-xich-long/binh-luan,KOI Thé - Phan Xích Long,"137 Cù Lao (Ngã 3 Phan Xích Long và Cù Lao), P. 2",17,719463,2,6.222,86,0,26,19,4087,4,10.7987247,106.6862778
/ho-chi-minh/banh-trang-tron-top-mo-trung-cut-long-dao-an-vat-1168-truong-sa/binh-luan,Bánh Tráng Trộn Tóp Mỡ Trứng Cút Lòng Đào & Ăn Vặt - 1168 Trường Sa,"1168 Trường Sa, P. 13",17,858526,2,7.4,13,0,2,9,884,0,10.7888328,106.6690743
/ho-chi-minh/bento-delichi-com-ga-xoi-mam-toi-xoi-mo-quan-phu-nhuan/binh-luan,Bento Delichi - Cơm Gà Xối Mắm Tỏi & Xối Mỡ - Quận Phú Nhuận,"166/12L Thích Quảng Đức, P. 4",17,1012334,2,6.932,25,1,9,14,1180,1,10.808116,106.679525
/ho-chi-minh/co-loan-banh-trang-tom/binh-luan,Cô Loan - Bánh Tráng Tôm,243/2C Phan Đình Phùng,17,767553,2,7.742,99,0,46,277,13489,5,10.796322,106.681172
/ho-chi-minh/hutong-hotpot-paradise-phan-xich-long/binh-luan,Hutong - Hotpot Paradise - Phan Xích Long,"169 - 171 Phan Xích Long, P. 2",17,748592,2,8.142,504,0,158,39,13133,19,10.798124,106.688475
/ho-chi-minh/co-quyen-xu-quang-cac-mon-quang/binh-luan,Cô Quyên Xứ Quảng - Các Món Quảng - Hồ Biểu Chánh,"62 Hồ Biểu Chánh, P. 11",17,645408,2,6.01,764,0,111,222,15814,14,10.7922972973264,106.6762110225679
/ho-chi-minh/ngoc-suong-ben-thuyen-nguyen-van-troi/binh-luan,NS Bến Thuyền,"11 Nguyễn Văn Trỗi, P. 12",17,14,2,7.306,830,0,115,188,79150,51,10.7919259,106.681183
/ho-chi-minh/dim-tu-tac-nha-hang-quang-dong-tan-son-nhat-hotel/binh-luan,Dim Tu Tac - Nhà Hàng Quảng Đông - Tân Sơn Nhất Hotel,"Tầng 2, Tân Sơn Nhất Hotel, 202 Hoàng Văn Thụ",17,208817,2,7.368,543,0,40,50,12227,20,10.800124,106.670752
/ho-chi-minh/lau-de-cua-245-hoa-lan/binh-luan,Lẩu Dê & Cua 245 - Hoa Lan,186 Hoa Lan,17,152808,2,6.784,446,0,60,51,55433,18,10.79799,106.687868
/ho-chi-minh/sushi-house/binh-luan,Sushi House,"57 Trương Quốc Dung, P. 10",17,683127,2,7.808,167,0,26,44,6431,4,10.795333,106.672535
/ho-chi-minh/nha-hang-hai-san-din-ky-hong-ha/binh-luan,Nhà Hàng Hải Sản Dìn Ký - Hồng Hà,"127 Hồng Hà, P. 9",17,903960,2,7.766,24,0,6,3,2485,0,10.809795,106.672871
/ho-chi-minh/tengu-japanese-dining/binh-luan,TENGU Japanese Dining,"16 Hoa Cau, P. 7",17,941629,2,6.316,40,0,12,10,1777,2,10.7993,106.688399
/ho-chi-minh/vinh-steak-n-ale/binh-luan,Vinh Steak 'n Ale,"43 Hoa Lan, P. 2",17,932380,2,8.686,83,0,14,43,1775,0,10.796822,106.690956
/ho-chi-minh/nha-hang-gold-hai-san-ca/binh-luan,Nhà Hàng Gold One,"183-185 Phan Xích Long, P. 7",17,67606,2,6.218,361,0,40,17,47331,10,10.797956,106.689346
/ho-chi-minh/nha-hang-zoozoo-deluxy/binh-luan,Nhà Hàng ZOOZOO Deluxy,"137 Phan Đăng Lưu, P. 2",17,1027534,2,8.0,3,0,1,0,1816,0,10.8028,106.684222
/ho-chi-minh/nha-hang-hanoi-hanoi/binh-luan,Nhà Hàng Hanoi Hanoi,"191 Phan Xích Long, P. 2",17,993365,2,8.1,43,3,2,12,727,0,10.801053,106.683908
/ho-chi-minh/lon-met-thai-binh/binh-luan,Lợn Mẹt Thái Bình,"208 Hoa Lan, P. 2",17,933507,2,8.0,9,4,1,1,367,3,10.798459,106.686863
/ho-chi-minh/b-zone-bia-ha-noi-313/binh-luan,B Zone - Bia Hà Nội 313,"313 Nguyễn Trọng Tuyển, P. 10",17,950211,2,6.76,20,0,5,9,2952,1,10.79813,106.669119
/ho-chi-minh/yeebo-di-buu-nguyen-van-troi/binh-luan,"Yeebo Di Bửu - Seafood, Hot Pot & Dimsum - Nguyễn Văn Trỗi","76 Nguyễn Văn Trỗi, P. 15",17,21817,2,7.262,538,0,63,44,37567,34,10.795852,106.675569
/ho-chi-minh/chewy-chewy-phan-xich-long/binh-luan,Chewy Chewy - Phan Xích Long,"376 Phan Xích Long, P. 2",17,260979,2,7.018,323,0,64,92,7400,6,10.801123,106.68383
/ho-chi-minh/mien-dong-thao-cafe/binh-luan,Miền Đồng Thảo Cafe,"221A Nguyễn Trọng Tuyển, P. 8",17,1121,2,6.836,1192,0,227,334,96256,155,10.797403,106.6751649999999
/ho-chi-minh/haru-sushi/binh-luan,Haru Sushi - Phan Xích Long,"398 Phan Xích Long, P. 2",17,284621,2,7.97,1714,0,262,364,51976,69,10.8002213,106.6848653
/ho-chi-minh/toocha-viet-nam-phan-xich-long/binh-luan,Toocha - Trà Sữa Không Mập - Phan Xích Long,"328 - 330 Phan Xích Long, P. 7",17,706615,2,6.73,811,0,195,40,15250,23,10.7987313,106.6876765
/ho-chi-minh/suon-cay-nuong-hai-san-phan-dang-luu/binh-luan,Sườn Cây Nướng & Hải Sản - Phan Đăng Lưu,"Tầng 1, 128C Phan Đăng Lưu, P. 3",17,109096,2,7.286,906,0,123,102,73787,41,10.8023157,106.683463
/ho-chi-minh/phuc-long-pho-quang/binh-luan,Phúc Long Phổ Quang,"Lô GM Chung Cư Golden Mansion, 119C Phổ Quang, P. 9",17,933549,2,5.264,191,2,19,4,1716,2,10.808831,106.670971
/ho-chi-minh/mochi-tea-milktea/binh-luan,Mochi Tea & Milktea,"96/4 Phan Đình Phùng, P. 2",17,1064806,2,0.0,0,0,0,0,20,0,10.794719,106.684137
/ho-chi-minh/mi-y-bistro-mi-y-dut-lo-phan-xich-long/binh-luan,Mì Ý Bistro - Mì Ý Đút Lò - Phan Xích Long,"Hẻm 417 Phan Xích Long, P. 3",17,1000050071,2,0.0,2,0,0,0,36,0,10.8029657,106.6817824
/ho-chi-minh/com-tam-hem-33/binh-luan,Cơm Tấm Hẻm 33,33/16 Nguyễn Đình Chính,17,762614,2,7.584,18,0,12,57,1313,1,10.7963609,106.679965
/ho-chi-minh/tra-sua-maycha-thich-quang-duc/binh-luan,Trà Sữa Maycha - Thích Quảng Đức,"57 Thích Quảng Đức, P. 4",17,1103017,2,0.0,0,0,0,0,255,0,10.8048604536797,106.6827269263759
/ho-chi-minh/tra-sua-onus-milk-tea-king-of-drinds-tra-sua-hoang-van-thu.8r5ado/binh-luan,Trà Sữa ONUS Milk Tea King Of Drinds - Trà Sữa - Hoàng Văn Thụ,"129/1A Hoàng Văn Thụ, P. 8",17,1000033218,2,0.0,0,0,0,0,34,0,10.7992307,106.6760963
/ho-chi-minh/sasin-mi-cay-7-cap-do-han-quoc-hoa-phuong/binh-luan,SaSin - Mì Cay 7 Cấp Độ Hàn Quốc - Hoa Phượng,"15A Hoa Phượng, P. 2",17,960754,2,4.1,98,0,18,3,1425,4,10.797004,106.686813
/ho-chi-minh/thanh-xoi-chien/binh-luan,Thanh Xôi Chiên,34 Phùng Văn Cung,17,96261,2,7.236,32,0,11,52,9468,6,10.800301,106.685802
/ho-chi-minh/bep-au-viet-com-ga-sot-cay-mam-toi-suon-nuong-mat-ong-salad-hoa-dao/binh-luan,"Bếp Âu Việt - Cơm Gà Sốt Cay Mắm Tỏi, Sườn Nướng Mật Ong & Salad - Hoa Đào","148B Hoa Đào, P. 2",17,1150846,2,0.0,0,0,0,0,3,0,10.7987422,106.6842994
/ho-chi-minh/beno-mi-y-bo-my-com-bo-ham-hoa-lan/binh-luan,"Beno - Mì Ý, Bò Mỹ, Cơm Bò Hầm - Hoa Lan","76 Hoa Lan, P. 2",17,783979,2,6.468,379,0,92,75,8476,7,10.797103,106.690035
/ho-chi-minh/ca-phe-vot-ca-phe-phan-dinh-phung.xwsqsr/binh-luan,Cà Phê Vợt - Cà Phê - Phan Đình Phùng,"23 Phan Đình Phùng, P. 17",17,1000048683,2,0.0,0,1,0,0,29,0,10.79281,106.685541
/ho-chi-minh/ca-phe-ca-phao-ca-phe-niem-vui-bui-van-them/binh-luan,Cà Phê Cà Pháo - Cà Phê & Niềm Vui - Bùi Văn Thêm,"21A Bùi Văn Thêm, P. 9",17,1146082,2,0.0,0,0,0,0,3,0,10.8077439,106.6779887
/ho-chi-minh/gam-coffee-100-arabica-phan-xich-long/binh-luan,GAM Coffee - 100% Arabica - Phan Xích Long,"181 (Số Mới 262) Phan Xích Long, P. 7",17,1130310,2,0.0,0,0,0,0,67,0,10.798108,106.6893185
/ho-chi-minh/tiem-ca-phe-544-tra-ca-phe-nguyen-kiem.noagyg/binh-luan,Tiệm Cà Phê 544 - Trà & Cà Phê - Nguyễn Kiệm,"544 Nguyễn Kiệm, P. 4",17,1000025868,2,0.0,0,0,0,0,6,0,10.804383,106.678965
/ho-chi-minh/me-gau-food-banh-canh-cua-huynh-van-banh.7w1pgc/binh-luan,Mẹ Gấu Food - Bánh Canh Cua - Huỳnh Văn Bánh,"379/8F Huỳnh Văn Bánh, P. 11",17,1000045718,2,0.0,0,0,0,0,46,0,10.791391,106.673256
/ho-chi-minh/pho-kho-gia-lai-58/binh-luan,Phở Khô Gia Lai 58,"58 Hoa Sứ, P. 7",17,1000000273,2,4.2,0,3,1,1,344,0,10.7996952,106.6893959
/ho-chi-minh/banh-canh-cua-trang-phung-van-cung/binh-luan,Bánh Canh Cua Trang - Phùng Văn Cung,"30/28/30 Phùng Văn Cung, P. 7",17,1073538,2,0.0,0,0,0,0,120,0,10.800095,106.686711
/ho-chi-minh/chao-dinh-duong-doremi-nguyen-trong-tuyen/binh-luan,Cháo Dinh Dưỡng Doremi - Nguyễn Trọng Tuyển,"160 Nguyễn Trọng Tuyển, P. 8",17,1133341,2,0.0,0,1,0,0,25,0,10.7976963,106.6759786
/ho-chi-minh/kuon-banh-cuon-la-ma-quen/binh-luan,Kuốn - Bánh Cuốn Lạ Mà Quen,"98 Hoàng Văn Thụ, P. 9",17,1146043,2,0.0,0,0,0,0,22,0,10.799541,106.677625
/ho-chi-minh/nha-hang-vit-quay-phuc-lam-mon-phan-xich-long/binh-luan,Nhà Hàng Vịt Quay Phúc Lâm Môn - Phan Xích Long,"198 Phan Xích Long, P. 7",17,1138305,2,0.0,0,0,0,0,12,0,10.7978493,106.6893393
/ho-chi-minh/beefsteak-bluebird-french-restaurant-phan-xich-long/binh-luan,Beefsteak Bluebird - French Restaurant - Phan Xích Long,"65 Phan Xích Long, P. 2",17,1139850,2,9.8,10,0,2,2,51,0,10.797162,106.6912764
/ho-chi-minh/tra-dau-mr-do-le-van-sy/binh-luan,Trà Dâu Mr. Đỏ - Lê Văn Sỹ,"120 Lê Văn Sỹ, P. 10",17,1126916,2,0.0,0,0,0,0,50,0,10.7917976,106.6718237
/ho-chi-minh/banh-mi-kido-banh-mi-heo-quay-banh-mi-dac-ruot/binh-luan,Bánh Mì KIDO - Bánh Mì Heo Quay & Bánh Mì Đặc Ruột,"54 Hoa Cúc, P. 7",17,1138831,2,0.0,0,0,0,0,10,0,10.7989476,106.6888009
/ho-chi-minh/tra-sua-homy-thich-quang-duc/binh-luan,Trà Sữa Homy - Thích Quảng Đức,"58 Thích Quảng Đức, P. 5",17,1137065,2,0.0,0,0,0,0,35,0,10.8070503,106.68287
/ho-chi-minh/bun-bo-hue-hinomaru-phan-xich-long/binh-luan,Bún Bò Huế Hinomaru - Phan Xích Long,"412 Phan Xích Long, P. 2",17,1138035,2,0.0,0,0,0,0,12,0,10.800333,106.6850682
